kode,nama_makanan,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vitamin_c_mg,status_makanan,kelompok_makanan
AR010,"Beras menir, mentah",362,7.7,4.4,73,0.2,22,272,3.7,90,201,0.1,0.5,0,0.55,0.04,1.9,0,Tunggal,Serealia
AR011,Beras parboiled,353,6.8,0.6,80,0.5,5,142,0.8,2,46,0.28,1,0,0.22,0.11,3.4,0,Tunggal,Serealia
AR012,"Beras tumbuk, mentah",354,7.8,0.4,79.9,3.8,3,112,0.6,5,85,0.5,1.5,0,0.25,0.22,5.1,0,Tunggal,Serealia
AR013,"Beras tumbuk merah, mentah",352,7.3,0.9,76.2,0.8,15,257,4.2,10,202,0.36,1.9,0,0.34,0.05,3.3,0,Tunggal,Serealia
AR014,"Cantel, mentah",366,11,3.3,73,1.2,28,287,4.4,7,249,0,0,0,0.09,0.14,2.8,0,Tunggal,Serealia
AR015,"Jagung muda, kuning, mentah",147,5.1,0.7,31.5,1.3,6,122,1.1,5,33.6,0.13,0.8,0,0.24,0.05,0.8,9,Tunggal,Serealia
AR016,"Jagung kuning pipil, kering, mentah",366,9.8,7.3,69.1,2.2,30,538,2.3,5,79.4,0.1,1.9,0,0.12,0.12,1.8,3,Tunggal,Serealia
AR017,"Jagung pipil var. harapan, kering",367,6.2,5.1,76.2,2.6,7,354,2.8,1,79.6,0.1,1.9,0,0.19,0.08,1,0,Tunggal,Serealia
AR018,"Jagung pipil var. metro, kering",368,5.5,4.6,78,2.9,7,300,2.4,1,80.2,0.1,1.9,0,0.16,0.08,1,0,Tunggal,Serealia
AR019,"Jali, mentah",324,11,4,61,3.1,213,176,11,24,0,0.1,0.4,0,0.14,0.08,1.8,0,Tunggal,Serealia
AR020,"Jawawut, mentah",364,9.7,3.5,73.4,8.2,28,311,5.3,7,255.1,0.45,1.5,0,0.33,0.28,4.5,0,Tunggal,Serealia
AR021,"Jampang huma, mentah",350,6.2,1.4,78.2,1.7,329,254,5.3,53,396.7,0.7,1.6,0,0.51,0.3,0.7,0,Tunggal,Serealia
BP001,"Batatas kelapa, ubi, bakar",110,1.4,1.1,23.4,4.5,1,46,0.2,12,230,0.2,0.3,0,1.13,0,0,0,Olahan,Umbi
BP002,"Batatas kelapa, ubi, kukus",92,1.2,0.3,21,4.1,0,42,0.2,10,209,0.2,0.3,0,0.28,0,0.7,0,Olahan,Umbi
BP003,"Batatas tali, ubi, rebus",182,2.4,0.4,42.2,9.2,1,80,0.3,20,402,0.3,0.6,0,0.27,0,1.3,0,Olahan,Umbi
BP004,"Belitung, talas, kukus",145,1.2,0.4,34.2,1,21,48,0.9,7,552.6,0.2,0.9,0,0.08,0.1,2.3,1,Olahan,Umbi
BP005,"Bentul, talas, kukus",71,2.3,0.3,15.4,0.5,29,26,0.6,0,201,0.2,0.6,0,0.06,0,0,21,Olahan,Umbi
BP006,"Gadung, ubi, kukus",88,0.6,0.3,20.9,0.9,26,47,0.4,6,584,0.2,0.2,0,0.03,0,0.4,0,Olahan,Umbi
BP007,"Ganyong, rebus",100,0.8,0.2,23.8,0.9,15,65,0.9,0,0,0,0,0,0.04,0,0,6,Olahan,Umbi
BP008,Ketela pohon/singkong kukus,153,1.2,0.3,36.4,1.3,56,22,0.4,2,345.3,0.3,0.1,0,0,0,0.3,20,Olahan,Umbi
BP009,"Suweg, talas, kukus",93,1.5,0.1,21.9,0.9,50,58,0.8,6,350.3,0.1,0.1,0,0.09,0,0.3,0,Olahan,Umbi
BP010,"Talas bogor, kukus",120,1.5,0.3,28.2,0.7,31,63,0.7,11,498,0.2,0.6,0,0.05,0.6,0.8,2,Olahan,Umbi
BP011,"Ubi jalar, kuning, kukus",100,0.7,0.3,23.8,1,44,46,0.4,3,0.8,0.1,0.2,0,0,0.1,0.6,16,Olahan,Umbi
BP012,Ubi jalar tinta/ kemayung kukus,165,0.9,0.2,39.8,1.1,20,23,0.8,1,0.9,0.1,0.2,0,0.02,0.1,0.5,0,Olahan,Umbi
BP013,Bagea kelapa asin,450,3.2,13.9,78.1,0,38,38,0.3,74,0,0.2,0.2,0,0.3,0,0,0,Olahan,Umbi
BP014,Bagea kelapa manis,452,1.3,13.8,80.6,0,38,39,0.3,75,0,0.2,0.2,0,0,0,0,0,Olahan,Umbi
BP015,Bagea kenari asin,529,3.2,29.1,63.6,0,38,40,0.4,74,0,0.2,0.2,0,0.3,0,0,0,Olahan,Umbi
BP016,Bagea kenari manis,523,3.2,28.2,64.2,0,38,39,0.3,74,0,0.2,0.2,0,0.3,0,0,0,Olahan,Umbi
BP017,Bagea kw 1,416,6.5,9.4,76.3,0.4,49,77,4.9,0,0,0,0,13,0.08,0,2.6,0,Olahan,Umbi
BP018,Bagea kw 2,382,0.3,3.5,87.2,0.9,172,120,7.6,0,0,0,0,0,0.02,0,0,0,Olahan,Umbi
BP019,Beras Cerdas,350,2.7,1.1,82.3,6.2,28,351,2.9,358,568,0.2,0.9,0,0.02,0.2,0.3,0.2,Olahan,Umbi
BP020,Beras ganyong,364,3.4,0.7,86.3,4.7,4,47,5,4,72.2,0.2,0.6,0,0.02,0.02,0.3,0.2,Olahan,Umbi
BP021,Beras Siger,344,1.1,0.2,28.3,5.6,32,22,5.6,106,77.9,0.1,0.5,0,0.02,0.1,0.2,0.2,Olahan,Umbi
BP022,Biji nangka/Biji salak,262,2.3,5.4,51.1,8,60,80,0.8,10,2,0.6,2,0,0.1,1,0,10,Olahan,Umbi
BP023,Bubur sagu,167,0.2,4,33,0,3,3,0.1,7,0,0.1,0.1,0,9,0,0.1,0,Olahan,Umbi
BP024,Cassavastick,460,0.8,18.7,17.2,1.6,144,58,7.5,0,0,0,0,0,0.19,0.07,0.1,0,Olahan,Umbi
BP025,Ceriping getuk singkong,462,1.2,20.7,67.7,0.6,1248,172,8.8,0,0,0,0,0,0.29,0.02,0.5,0,Olahan,Umbi
BP026,Gatot,347,1.3,0.7,83.8,5.8,78,44,17.1,28,242,0.2,0.7,0,0.02,0.1,0.4,0.2,Olahan,Umbi
BP027,Geblek,195,0.4,1.7,44.4,3.6,35,13,0.6,353,125,0.3,0.3,0,0.02,0,0.1,0.2,Olahan,Umbi
BP028,Getuk goreng,360,1.3,6.4,74.3,0.8,59,81,3.2,0,0,0,0,0,0.21,0,0.1,0,Olahan,Umbi
BP029,Getuk singkong,204,0.5,1.4,47.4,0.8,97,52,1.5,0,0,0,0,0,0.08,0,0.1,0,Olahan,Umbi
BP030,Gurandil,218,0.5,2.5,48.5,3.1,50,25,2.8,0,0,0,0,0,0.19,0,0,0,Olahan,Umbi
BP031,Kabuto,250,2.6,2.5,35.4,1.8,35,49,1.1,2,218,0,0,0,0.1,0.1,0.6,0,Olahan,Umbi
BP032,Kapurung,41,2,0.3,7.8,2,34,12,0.3,185,566,0.1,0.3,0,0.12,0.25,2.7,15,Olahan,Umbi
BP033,Kecimpring singkong goreng,464,1.2,18.6,73,1.3,82,52,3.4,0,0,0,0,0,0.34,0,0,0,Olahan,Umbi
BP034,Keremes,475,1.6,25.2,64.4,2.1,153,88,1,0,0,0,0,0,0,0,0,0,Olahan,Umbi
BP035,Keripik gadung,446,2.8,14.5,76,1.7,147,52,1.9,0,0,0,0,0,0.95,0,0,0,Olahan,Umbi
BP036,Keripik kentang,448,2.7,18.8,67.1,3.8,25,130,1.2,712,406,1.1,0,0,0.1,0.05,2.8,0,Olahan,Umbi
BP037,Keripik singkong,478,0.9,20.7,72,2,189,101,1.9,0,0,0,0,0,0.24,0,0,0,Olahan,Umbi
BP038,Keripik singkong berbumbu,481,2.2,19.7,73.6,1.6,156,103,1.6,0,0,0,0,0,0.31,0,0,0,Olahan,Umbi
BP039,Keripik ubi,486,0.2,23.9,67.6,14.3,68,92,0.9,52,2,0.7,2.3,0,0.1,0.1,0.5,0,Olahan,Umbi
BP040,Kerupuk cumi goreng,444,6.9,14.6,71.3,5,47,375,1.8,837,191,0.1,0.3,0,0.4,0.1,1.8,0,Olahan,Umbi
BP041,Kerupuk kemplang (ikan) mentah,325,1.8,0.4,78.5,4.5,59,268,2.3,1123,273,0.2,0.5,32,0.6,0.1,2.3,0,Olahan,Umbi
BP042,Kerupuk kemplang goreng,504,5.6,28.1,57.1,0.3,50,94,2.9,0,0,0,0,6,0.31,0,0,0,Olahan,Umbi
BP043,Kerupuk kemplang panggang,356,9.7,1.1,76.9,1,62,129,2.9,0,0,0,0,7,0.36,0,0,0,Olahan,Umbi
BP044,Kerupuk mie kuning goreng,476,0.1,21.1,71.3,4.2,57,36,4.6,0,109,0.1,0.2,0,0.22,0,0.9,0,Olahan,Umbi
BP045,Kerupuk udang goreng,477,4.7,20.5,68.5,5,24,188,0.9,449,109,0.1,0.2,0,0.2,0,0.9,0,Olahan,Umbi
BP046,Kue bangket,338,1.5,1.2,80.3,0,34,35,0.3,67,0,0.2,0.2,0,0.3,0,0,0,Olahan,Umbi
BP047,Kue putu singkong,217,1.2,0.5,53.2,2.4,48,68,1.5,3,305,0,0,0,0.1,0.1,0.8,0,Olahan,Umbi
BP048,Lanting getuk,422,0.9,10.8,80.4,1.4,206,104,3.6,0,0,0,0,0,0.43,0,0,0,Olahan,Umbi
BP049,Mi golosor,71,0.2,0.8,15.9,0.1,117,5,0.2,0,0,0,0,0,0.05,0.02,0,0,Olahan,Umbi
BP050,Mie Bendo,353,0.3,0,88,2.4,28,14,2.8,9,49.2,0.5,0.1,0,0.02,0,0.1,0.2,Olahan,Umbi
BP051,Mie Sagu,190,0.2,0.4,46.5,1.4,8,7,0.3,10,2.6,0.1,0,0,0,0.4,0,0.2,Olahan,Umbi
BP052,Ongol-ongol sagu,111,0.3,2.7,21.2,0.3,79,15,1.7,0,0,0,0,0,0.06,0,0,0,Olahan,Umbi
BP053,Oyek,351,0.9,0.9,84.9,4.3,60,36,2.1,5,229,0.1,0.5,0,0.02,0.02,0.5,0.2,Olahan,Umbi
BP054,Papeda,61,0.2,0.1,14.9,0.5,3,1,0.2,4,20,0.1,0.1,0,0.06,0,0,0,Olahan,Umbi
BP055,Rasbi (Beras Ubi),394,2.2,8.8,76.6,6.8,68,76,1.6,165,388,0.4,0.4,0,0.02,0.3,1.2,0.2,Olahan,Umbi
BP056,Rasi (Beras Singkong),350,0.9,0.4,85.7,14.4,42,21,1.5,8,14,0.3,0.5,0,0.02,0.02,0.4,0.2,Olahan,Umbi
BP057,Sagu forno,291,0.5,4,63.4,0,10,20,0.8,40,50,0.1,0.2,0,0,0,0,0,Olahan,Umbi
BP058,Sagu Lemak (Kue Sagon),452,2.8,14.8,76.8,1.1,15,39,1.1,182,52.7,0.04,0.8,0,0.32,0.04,0.1,0.2,Olahan,Umbi
BP059,Sagu manis,287,0.5,3.9,62.4,0,8,17,0.7,34,42,0.1,0.2,0,0,0,0,0,Olahan,Umbi
BP060,Sagu Rendang,364,0.1,0.2,90.5,1.9,13,9,3.9,42,15.1,0.1,0.1,0,0.02,0.6,0.8,0.2,Olahan,Umbi
BP061,Sagu sinole,354,0.8,8.3,68.9,0,10,30,0.8,30,11,0.2,0.3,0,0,0,0,0,Olahan,Umbi
BP062,Serimping talas kebumen,478,2.5,21.2,69.2,1.7,112,118,2.3,0,0,0,0,0,0.25,0,0,0,Olahan,Umbi
BP063,Tapai singkong,169,1.4,0.3,40.2,2,21,34,0.8,0,0,0,0,0,0,0,0,9,Olahan,Umbi
BP064,Tepung Arrowroot,355,0.7,0.2,85.2,0.4,8,22,1.5,2,10.7,0,0.1,0,0.09,0,0,0,Olahan,Umbi
BP065,Tepung Ganyong,353,0.8,1.7,83.6,0.7,4,31,3.3,3,63.5,0.1,0.3,0,0.02,0,0.9,1,Olahan,Umbi
BP066,Tepung Gaplek,345,2.4,0.4,83.1,6.7,18,95,1.5,6,55,0.4,1.2,0,0.3,0.2,0.1,0.2,Olahan,Umbi
BP067,"Tepung kentang, kering",347,0.3,0.1,85.6,0.4,20,30,0.5,51,156.3,0.2,0.5,0,0.04,0,0.4,0,Olahan,Umbi
BP068,Tepung Mocaf,350,1.2,0.6,85,6,60,64,15.8,8,403,0.1,0.6,0,0.02,0.02,0.7,2,Olahan,Umbi
BP069,Tepung Sente,326,4,0.4,76.7,8.5,41,141,3.5,14,1602,0.4,1.4,0,0.02,0.2,7.7,0.2,Olahan,Umbi
BP070,Tepung singkong/ Tapioka,363,1.1,0.5,88.2,0.9,84,125,1,1,7.1,0,0.1,0,0.04,0,0.4,0,Olahan,Umbi
BP071,Tepung Tales Beneng,332,5.7,0.6,76.1,12.2,59,302,10.7,7,1404,0.8,6.2,0,0.02,0.1,0.3,0.2,Olahan,Umbi
BP072,Tepung Ubi Ungu,354,2.8,0.6,84.4,12.9,89,125,3.9,42,940,0.8,0.6,0,0.4,0.02,0,0.2,Olahan,Umbi
BP073,Tiwul,353,2.4,1.1,83.4,6.5,55,95,4.7,5,670,0.2,0.8,0,0.02,0.02,0.1,3,Olahan,Umbi
BP074,Tiwul Instan,395,3.2,8.5,76.5,4.2,81,81,5.8,377,469,2.1,1.2,0,0.4,0.2,0.2,4,Olahan,Umbi
BP075,Ubi Cilembu,186,1.9,0.2,44.3,3.4,37,51,0.6,62,61.9,0.1,0.2,0,0.02,0.2,0,0.3,Olahan,Umbi
BP076,Uli batatas,150,1.1,4,27.4,0,0,23,0.1,6,112,0.1,0.2,0,0.53,0,1.3,0,Olahan,Umbi
BR001,"Arrowroot, segar",102,1,0.2,24.1,1.7,28,35,1.7,36,626.6,0.2,0.8,0,0.06,0.1,2.3,2,Tunggal,Umbi
BR002,"Batatas gembili, segar",76,1.1,0.9,16,4.2,0,40,0.2,10,200,0.2,0.3,0,0.06,0,0.9,0,Tunggal,Umbi
BR003,"Batatas kelapa, ubi, segar",89,1.1,0.1,21,4,0,40,0.2,20,340,0.1,0.2,0,0.38,0,0.9,0,Tunggal,Umbi
BR004,"Belitung, talas, segar",145,1.2,0.4,34.2,1.5,26,54,1.4,6,536.1,0.2,0.9,0,0.1,0.1,2.3,2,Tunggal,Umbi
BR005,"Bengkuang, segar",59,1.4,0.2,12.8,1,15,18,0.6,2,244.3,0.1,0.3,0,0.04,0.1,0.2,20,Tunggal,Umbi
BR006,"Bentul (Komba), talas, segar",98,1.6,0.7,20.9,0.7,44,66,1.5,0,195.5,0.2,0.6,0,0.02,0.1,0.8,0,Tunggal,Umbi
BR007,"Gadeng/Gadung, kering",322,2.4,0.6,76.6,0,39,22,2.2,5,2,0.5,0.2,0,0.45,0.02,1,0,Tunggal,Umbi
BR008,"Gadung, ubi, segar",100,0.9,0.3,23.5,2.1,79,66,0.9,8,687.2,0.2,0.2,0,0.23,0,0.5,2,Tunggal,Umbi
BR009,"Ganyong, segar",77,0.6,0.2,18.4,0.8,15,67,1,0,0,0,0,0,0.1,0,0,9,Tunggal,Umbi
BR010,"Gembili, ubi, segar",131,1.1,0.2,31.3,1.1,14,56,0.6,10,200,0.2,0.3,0,0.08,0,0.9,4,Tunggal,Umbi
BR011,"Hofa/Ubi hutan, segar",127,1.2,0.5,29.5,3.4,30,8,0.7,3,4,0.1,0.2,0,0.3,0.05,0.6,0,Tunggal,Umbi
BR012,"Kaburan, ubi, segar",133,1,0.2,32.2,0.7,65,50,0.6,10,899.2,0.2,0.2,0,0.01,0,0.3,0,Tunggal,Umbi
BR013,"Kentang, segar",62,2.1,0.2,13.5,0.5,63,58,0.7,7,396,0.4,0.3,0,0.09,0.1,1,21,Tunggal,Umbi
BR014,"Kentang hitam, segar",142,0.9,0.4,33.7,5.4,34,75,0.2,22,890.3,0.9,0.6,0,0.02,0.1,2.2,38,Tunggal,Umbi
BR015,"Keribang, ubi, segar",137,1.3,1.1,29.8,0.6,45,56,0.8,10,885.8,0.2,0.3,0,0,0,0.7,0,Tunggal,Umbi
BR016,"Ketela pohon/ singkong, segar",154,1,0.3,36.8,0.9,77,24,1.1,2,394,0.3,0.4,0,0.06,0.1,0.5,31,Tunggal,Umbi
BR017,Lepok/Ubi rumput,181,2.8,1.2,39.8,10.7,7,50,3.1,116,306,1.6,0.9,0,0.28,0.05,1.5,0,Tunggal,Umbi
BR018,"Sagu aren, kering",355,0.6,1.1,85.6,0.3,91,167,2.2,2,200,0,0.3,0,0.04,0.1,0.5,0,Tunggal,Umbi
BR019,"Sagu aren, segar",231,0.6,0.2,56.6,3.2,20,20,0.1,7,0,0.1,0.1,0,0.2,0,0,0,Tunggal,Umbi
BR020,Sagu kasbi segar,230,0.6,0.2,56.5,3,20,1,0.3,100,410,0.1,0.2,0,0.1,0,0,0,Tunggal,Umbi
BR021,Sagu lempeng,347,0.9,0.3,85.2,4.7,30,30,0.2,11,0,0.1,0.1,0,0.3,0,0,0,Tunggal,Umbi
BR022,"Sagu singkong, kering",362,0.5,0.3,86.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Tunggal,Umbi
BR023,"Sente, talas, segar",353,0.7,0.2,84.7,6.6,11,13,1.5,30,694.6,0.6,2.2,0,0.05,0.2,2.8,5,Tunggal,Umbi
BR024,"Suweg, talas, segar",74,1.4,0.1,17.2,1.4,42,46,1.3,7,400,0.1,0.1,0,0.04,0,0.4,2,Tunggal,Umbi
BR025,"Talas bogor, segar",108,1.4,0.4,25,0.9,47,67,0.7,10,448,0.2,0.7,0,0.06,0.07,1,4,Tunggal,Umbi
BR026,"Talas pontianak, segar",163,2.3,0.5,36.4,0.7,45,80,1.7,14,323.1,0.3,1,0,0.02,0.1,1.3,0,Tunggal,Umbi
BR027,"Talas viqueque, segar",115,1.8,0.5,25.9,8.6,50,220,0.9,1,70,0.3,1,0,0.08,0.1,0.9,0,Tunggal,Umbi
BR028,"Ubi jalar, kuning, segar",119,0.5,0.4,25.1,4.2,30,40,0.4,3,1,0.1,0.2,0,0.06,0.07,0.7,0,Tunggal,Umbi
BR029,"Ubi jalar manis, segar",83,1.5,0.2,18.8,0.6,27,162,2.1,52,320.7,0.1,0.3,0,0.02,0,0.4,0,Tunggal,Umbi
BR030,"Ubi jalar merah, segar",151,1.6,0.3,35.4,0.7,29,74,0.7,92,565.6,0.3,0.5,0,0.13,0.08,0.7,11,Tunggal,Umbi
BR031,"Ubi jalar putih, segar",88,0.4,0.4,20.6,4,30,10,0.5,2,4,0.1,0.2,0,0.25,0.06,0.5,36,Tunggal,Umbi
BR032,Ubi jalar tinta/ kemayung,108,0.5,0.4,25.6,4.2,30,40,0.5,1,1,0.1,0.2,0,0.09,0.06,0.6,24,Tunggal,Umbi
BR033,"Umbi Uwi, segar",120,2.8,0.5,82.3,2.6,9,42,1.3,412,412,0.3,0.6,0,0.02,0.5,0.2,4,Tunggal,Umbi
CP001,"Kacang belimbing (kecipir), rebus",204,16.9,8.8,17.5,4.8,230,180,3.3,43,1098,3.24,2.3,0,0.2,0.48,0.7,0,Olahan,Kacang
CP002,"Kacang bogor, goreng",479,12.7,23.2,58.9,1.2,135,184,2.9,0,0,0,0,0,0.25,0.45,4.1,0,Olahan,Kacang
CP003,"Kacang bogor, rebus",161,7.7,2.8,27.1,2,56,134,1.4,0,0,0,0,0,0.1,0,0,0,Olahan,Kacang
CP004,"Kacang gude, rebus",147,9,0.5,27.5,3.4,50,175,2,14,1126,0.8,2.7,0,0.1,0.07,13.2,0,Olahan,Kacang
CP005,"Kacang hijau, rebus",109,8.7,0.5,18.3,1.5,95,149,1.5,447,657.8,1.4,2.8,0,0.12,0.04,0.4,3,Olahan,Kacang
CP006,"Kacang kedelai, goreng",521,32.2,37.7,22.9,7.6,296,800,6.5,3492,11890,26.3,60,0,0.4,1.9,19,0,Olahan,Kacang
CP007,"Kacang kedelai, rebus",189,20.2,8.2,12.7,1.6,91,270,3.9,181,615,1.3,3.7,0,0.2,0.04,0.5,0,Olahan,Kacang
CP008,"Kacang merah kering, rebus",158,10.3,0.9,28.2,2.6,160,149,3.7,6,311,0.27,1.5,0,0.2,0.09,0.8,0,Olahan,Kacang
CP009,"Kacang merah segar, rebus",144,10,1,24.7,3.5,144,150,2.8,6,311,0.27,1.5,0,0.1,0.08,0.7,0,Olahan,Kacang
CP010,"Kacang mete/biji jambu monyet, goreng",629,20.4,56.3,19.8,1.1,502,493,8,13,641.7,4.7,5.4,0,0.37,0.22,1.8,0,Olahan,Kacang
CP011,Kacang tanah rebus dg kulit,360,13.5,31.2,12.8,0,42,177,1.4,32,483,1.6,2,0,0.44,0.13,9,5,Olahan,Kacang
CP012,"Kacang tanah, goreng",564,25.5,44.4,25.5,2.8,106,390,4.1,0,0,0,0,0,0.4,0,0,0,Olahan,Kacang
CP013,"Kacang tanah, rebus",220,10.6,18,8,1,89,273,1.9,36,536.2,1.78,2.2,0,0.1,0,0,0,Olahan,Kacang
CP014,"Kacang tolo / tunggak, rebus",138,10.7,1.1,22.6,0.9,165,172,4,13,6.7,0.8,6.1,0,0.01,0.17,3.2,0,Olahan,Kacang
CP015,Ampas kacang hijau,96,3.7,0.6,19.1,2.7,133,150,1.3,0,0,0,0,0,0.05,0,0,0,Olahan,Kacang
CP016,"Ampas tahu, mentah",67,5,2.1,8.1,4.1,460,88,1,8,184.5,0.17,0.5,0,0.06,0.02,0.1,0,Olahan,Kacang
CP017,Ampas tahu kukus,75,4.1,2.1,10.7,5.1,203,60,1.3,0,0,0,0,0,0.07,0,0,0,Olahan,Kacang
CP018,"Ampas tahu, kering",414,26.6,18.3,41.3,0,19,29,4,45,1055.7,0.99,2.8,0,0.2,0.1,0.5,0,Olahan,Kacang
CP019,Pepes oncom ampas tahu,76,5.2,1.8,10.6,2.2,215,66,12.5,0,0,0,0,0,0.11,0,0,0,Olahan,Kacang
CP020,Bungkil biji karet,333,29.3,3.3,50,0,102,660,12,0,0,0,0,0,0.1,0,0,0,Olahan,Kacang
CP021,Bungkil kacang tanah,336,37.4,13,30.5,0,730,470,30.7,0,0,0,0,0,0.04,0,0,0,Olahan,Kacang
CP022,Bungkil kelapa,368,23,15,40,0,137,433,41.5,0,0,0,0,0,0,0.46,8.9,0,Olahan,Kacang
CP023,Dodol banjarmasin,368,2.6,8.6,70,0.5,51,180,3.3,48,96,0.4,2.6,0,0.04,0.07,2.3,0,Olahan,Kacang
CP024,Emping (kerupuk melinjo),345,12,1.5,71.5,0,100,400,5,0,0,0,0,0,0.2,0,0,0,Olahan,Kacang
CP025,Emping komak,355,17.8,4.6,60.7,0,87,304,4.3,24,1233,1,2.3,0,0,0,0.6,0,Olahan,Kacang
CP026,Enting-enting gepuk hello kity,538,13.6,30.3,52.6,0.2,81,248,1.6,0,0,0,0,0,1,0,0,0,Olahan,Kacang
CP027,Enting-enting gepuk kacang tanah,524,13.3,29.2,52,0.2,76,248,1.4,0,0,0,0,0,0.62,0,0,0,Olahan,Kacang
CP028,Enting-enting wijen,565,18.2,38.4,36.8,1.9,251,502,10.9,0,0,0,0,0,0.92,0,0,0,Olahan,Kacang
CP029,Geplak,350,1.4,14.4,53.6,1.8,151,43,2.1,0,0,0,0,0,0.12,0.02,0.8,0,Olahan,Kacang
CP030,Geplak jahe,462,3.1,24.4,57.7,3.3,212,161,6.6,0,0,0,0,0,0.12,0,0.1,0,Olahan,Kacang
CP031,Kacang atom,533,27.8,38.1,28.8,2.5,87,423,3,0,0,0,0,0,0.06,0,0,0,Olahan,Kacang
CP032,Kacang goyang,516,14.7,31.1,44.4,0,34,230,0.7,2,365,0.6,1.7,0,0,0,0,0,Olahan,Kacang
CP033,Kacang negara,480,18.4,19.1,58.5,11.7,34,404,10.3,101,385,2.5,7.1,0,0.63,0.05,2.6,0,Olahan,Kacang
CP034,Kacang sukro,484,8.8,26.1,57.7,1.8,49,194,2.5,0,0,0,0,0,0.06,0,0,0,Olahan,Kacang
CP035,Kacang tanah sari,561,25.5,43.8,26,2.2,50,324,3.1,0,0,0,0,0,0.08,0,0,0,Olahan,Kacang
CP036,Keju kacang tanah (peanut butter),590,27,49,20.9,1.6,60,360,2,355,492.4,0.57,2.7,0,0.3,0.2,16.2,0,Olahan,Kacang
CP037,Kembang tahu,380,48.9,13.8,23.3,0,378,781,2.1,55,455.3,0.68,4.2,0,0.15,0.08,0.7,0,Olahan,Kacang
CP038,Kembang tahu rebus,90,10.7,4,4.7,0,85,0,0,0,0,0,0,0,0,0,0,0,Olahan,Kacang
CP039,Keripik oncom,598,8.3,43.8,42.6,3.3,85,153,27,0,0,0,0,0,1.13,0,0,0,Olahan,Kacang
CP040,Keripik tempe,581,12.1,40.6,41.7,2.2,237,116,6.9,0,0,0,0,0,0.35,0,0,0,Olahan,Kacang
CP041,Keripik tempe abadi besar,556,15.8,37.1,39.8,3.5,112,215,5.4,0,0,0,0,0,0.63,0,0,0,Olahan,Kacang
CP042,Keripik tempe abadi murni,542,40.3,42.4,11.6,2.2,175,529,5.2,0,0,0,0,0,0.1,0,0,0,Olahan,Kacang
CP043,Keripik tempe abadi sedang,510,12.3,27.9,52.4,3.6,122,211,8.4,0,0,0,0,0,0.52,0,0,0,Olahan,Kacang
CP044,Keripik tempe abadi telur,529,20.8,31.7,40.2,3,124,222,5.4,0,0,0,0,0,0.86,0,0,0,Olahan,Kacang
CP045,Keripik tempe abadi prima,540,16.7,33.9,42,2.2,92,184,3.2,0,0,0,0,0,0.38,0,0,0,Olahan,Kacang
CP046,Kwaci,515,30.6,42.1,13.8,13.6,54,312,6.2,124,448.6,0.65,9.7,0,0.02,0.19,0.3,0,Olahan,Kacang
CP047,Melinjo emping tebal goreng manis,439,10,16.4,65.7,0,66,225,0,0,0,0,0,0,0.1,0,0,0,Olahan,Kacang
CP048,"Melinjo emping tebal, goreng asin",431,11.1,16.2,63,0,77,0,0,0,0,0,0,0,0.08,0,0,0,Olahan,Kacang
CP049,Melinjo emping tipis goreng,485,11.5,24.5,59.1,0,85,218,0,0,0,0,0,0,0.11,0,0,0,Olahan,Kacang
CP050,Moon tahu,128,8,10,1.3,0.2,205,92,2.5,393,0,0,0,131,0.46,0,0,0,Olahan,Kacang
CP051,Oncom,187,13,6,22.6,0,96,115,27,0,0,0,0,0,0.09,0,1.6,0,Olahan,Kacang
CP052,Oncom ampas kacang hijau,376,14.9,6,65.7,12.3,199,110,10.9,0,0,0,0,0,0.03,0,0,0,Olahan,Kacang
CP053,Oncom kacang hijau + singkong,351,11,5.3,65.9,9,164,113,7.8,0,0,0,0,0,0.01,0,0,0,Olahan,Kacang
CP054,Oncom kacang tanah pepes,132,12.7,3.8,13.7,3.1,133,355,34.4,0,0,0,0,0,0.08,0.2,0.7,0,Olahan,Kacang
CP055,Rempeyek kacang tanah,513,17.5,32.5,44.3,1.7,65,202,2.6,0,0,0,0,0,0.1,0,0,0,Olahan,Kacang
CP056,Rempeyek kacang tolo,451,11.2,20.2,59.7,1.8,156,221,4.6,0,0,0,0,0,0.02,0,0,0,Olahan,Kacang
CP057,Rempeyek kacang uci,497,17,27.6,50.8,2.4,166,89,6.7,0,0,0,0,0,0.05,0,0,0,Olahan,Kacang
CP058,Sayur lebui,64,2.1,0.6,12.5,5.7,21,2,1,124,146,0.2,0.7,0,0,0,0.1,0,Olahan,Kacang
CP059,"Saridele, bubuk",344,30,20,43,6.2,450,500,4,56,2572.3,2.99,4,0,0.7,0.16,2,10,Olahan,Kacang
CP060,Susu kedelai,41,3.5,2.5,5,0.2,50,45,0.7,128,287.9,0.12,1,0,0.08,0.05,0.7,2,Olahan,Kacang
CP061,"Tahu, mentah",80,10.9,4.7,0.8,0.1,223,183,3.4,2,50.6,0.19,0.8,0,0.01,0.08,0.1,0,Olahan,Kacang
CP062,Tahu goreng,115,9.7,8.5,2.5,0.1,229,200,4.1,7,68.2,0.09,1.3,0,0.01,0.24,0,0,Olahan,Kacang
