kode,nama_makanan,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vitamin_c_mg,status_makanan,kelompok_makanan
NR008,"Bawang putih, segar",112,4.5,0.2,23.1,0.6,42,134,1,46,665.7,0.09,0.4,0,0.22,0.07,0.3,15,Tunggal,Bumbu
NR009,"Boros kunci, segar",40,1,0.8,7.2,1,50,50,2,33,480,0.02,0.3,0,0.08,0.68,1.7,50,Tunggal,Bumbu
NR010,"Boros laja (lengkuas), segar",26,1,0.3,4.7,1.1,50,50,2,24,137.1,0.07,0.3,0,0.08,0.06,0.3,50,Tunggal,Bumbu
NR011,"Cabai gembor merah, segar",38,1.6,0.8,6.3,1.6,49,41,1.1,7,275.3,0.12,0.2,0,0.21,0.12,0,16,Tunggal,Bumbu
NR012,"Cabai hijau, segar",26,0.7,0.3,5.2,2.6,14,23,0.4,7,151,0.08,0.2,0,0.05,0.06,0.4,84,Tunggal,Bumbu
NR013,"Cabai merah, kering",367,15.9,6.2,61.8,26.9,160,370,2.3,25,181.5,1.2,1.8,0,0.4,1.36,4.4,50,Tunggal,Bumbu
NR014,"Cabai merah, segar",36,1,0.3,7.3,1.4,29,24,0.5,23,272.4,0.12,0.2,0,0.05,0.09,3,18,Tunggal,Bumbu
NR015,"Cabai rawit, segar",120,4.7,2.4,19.9,15.2,45,85,2.5,34,706.2,0.29,0.6,0,0.24,0.09,1.7,70,Tunggal,Bumbu
NR016,"Cengkeh, kering",330,5.2,8.9,57.4,10,740,100,4.9,282,961,0.3,0,0,200,0,0,0,Tunggal,Bumbu
NR017,"Daun salam, bubuk",301,14.2,10.9,49,9.4,86,250,44.1,180,619,1.31,0.7,0,0.1,0.32,5,0,Tunggal,Bumbu
NR018,"Jahe, segar",51,1.5,1,10.1,12,21,39,1.6,12,441.7,0.48,0.7,0,0.02,0.17,3.3,4,Tunggal,Bumbu
NR019,Kemiri,675,19,63,8,3,80,200,2,25,430.7,0.23,0.8,0,0.06,0.06,0.4,0,Tunggal,Bumbu
NR020,"Ketumbar, kering",418,14.1,16.1,54.2,12.3,630,370,17.9,91,1787,0.95,4.6,0,0.2,0.35,1.8,0,Tunggal,Bumbu
NR021,Kluwek,310,10,24,13.5,0,40,100,2,0,0,0,0,0,0.15,0,0,30,Tunggal,Bumbu
NR022,"Kunyit, segar",69,2,2.7,9.1,0.6,24,78,3.3,6,406.7,0.05,0.4,0,0.03,0.02,0.4,1,Tunggal,Bumbu
NR023,"Merica, kering",365,11.5,6.8,64.4,1,460,200,16.4,4,99.7,0.89,1.1,0,0.2,0.1,2.5,0,Tunggal,Bumbu
NR024,"Pala, biji, kering",518,7.5,36.4,40.1,3.5,120,240,4.6,2,78.7,0.94,2,0,0.2,0.02,0.5,0,Tunggal,Bumbu
QR001,"Kelapa muda, air, segar",17,0.2,0.1,3.8,0,15,8,0.2,1,149,0.04,0.1,0,0,0,0,1,Tunggal,Minuman
