kode,nama_makanan,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vitamin_c_mg,status_makanan,kelompok_makanan,meal_type
BP012,Ubi jalar tinta/ kemayung kukus,165,0.9,0.2,39.8,1.1,20,23,0.8,1,0.9,0.1,0.2,0,0.02,0.1,0.5,0,Olahan,Umbi,Cemilan
BP013,Bagea kelapa asin,450,3.2,13.9,78.1,0,38,38,0.3,74,0,0.2,0.2,0,0.3,0,0,0,Olahan,Umbi,Cemilan
BP014,Bagea kelapa manis,452,1.3,13.8,80.6,0,38,39,0.3,75,0,0.2,0.2,0,0,0,0,0,Olahan,Umbi,Cemilan
BP015,Bagea kenari asin,529,3.2,29.1,63.6,0,38,40,0.4,74,0,0.2,0.2,0,0.3,0,0,0,Olahan,Umbi,Cemilan
BP016,Bagea kenari manis,523,3.2,28.2,64.2,0,38,39,0.3,74,0,0.2,0.2,0,0.3,0,0,0,Olahan,Umbi,Cemilan
BP017,Bagea kw 1,416,6.5,9.4,76.3,0.4,49,77,4.9,0,0,0,0,13,0.08,0,2.6,0,Olahan,Umbi,Cemilan
BP018,Bagea kw 2,382,0.3,3.5,87.2,0.9,172,120,7.6,0,0,0,0,0,0.02,0,0,0,Olahan,Umbi,Cemilan
BP022,Biji nangka/Biji salak,262,2.3,5.4,51.1,8,60,80,0.8,10,2,0.6,2,0,0.1,1,0,10,Olahan,Umbi,Cemilan
BP025,Ceriping getuk singkong,462,1.2,20.7,67.7,0.6,1248,172,8.8,0,0,0,0,0,0.29,0.02,0.5,0,Olahan,Umbi,Cemilan
BP027,Geblek,195,0.4,1.7,44.4,3.6,35,13,0.6,353,125,0.3,0.3,0,0.02,0,0.1,0.2,Olahan,Umbi,Cemilan
BP028,Getuk goreng,360,1.3,6.4,74.3,0.8,59,81,3.2,0,0,0,0,0,0.21,0,0.1,0,Olahan,Umbi,Cemilan
BP029,Getuk singkong,204,0.5,1.4,47.4,0.8,97,52,1.5,0,0,0,0,0,0.08,0,0.1,0,Olahan,Umbi,Cemilan
BP030,Gurandil,218,0.5,2.5,48.5,3.1,50,25,2.8,0,0,0,0,0,0.19,0,0,0,Olahan,Umbi,Cemilan
BP031,Kabuto,250,2.6,2.5,35.4,1.8,35,49,1.1,2,218,0,0,0,0.1,0.1,0.6,0,Olahan,Umbi,Cemilan
BP032,Kapurung,41,2,0.3,7.8,2,34,12,0.3,185,566,0.1,0.3,0,0.12,0.25,2.7,15,Olahan,Umbi,Cemilan
BP033,Kecimpring singkong goreng,464,1.2,18.6,73,1.3,82,52,3.4,0,0,0,0,0,0.34,0,0,0,Olahan,Umbi,Cemilan
BP034,Keremes,475,1.6,25.2,64.4,2.1,153,88,1,0,0,0,0,0,0,0,0,0,Olahan,Umbi,Cemilan
BP035,Keripik gadung,446,2.8,14.5,76,1.7,147,52,1.9,0,0,0,0,0,0.95,0,0,0,Olahan,Umbi,Cemilan
BP036,Keripik kentang,448,2.7,18.8,67.1,3.8,25,130,1.2,712,406,1.1,0,0,0.1,0.05,2.8,0,Olahan,Umbi,Cemilan
